company_name,benefit_type,benefit_details,link_to_benefit_details
Abbott,student_loan_repayment,"Abbott’s Freedom 2 Save (F2S) program addresses our belief that employees shouldn’t have to choose between paying off student loans and saving for retirement. Under the plan, employees who are currently repaying a student loan, and these payments equal at least two percent of their eligible pay, will receive a five percent company match deposited into their Abbott Stock Retirement Plan (SRP) account without having to make contributions to the SRP.

If you are enrolled in F2S and making your own contributions to the SRP, you will only receive the F2S matching contribution. All employees who are eligible to participate in the SRP are eligible to enroll in F2S on their first day of employment.","https://www.abbott.com/corpnewsroom/strategy-and-strength/company-student-loan-perk.html#:~:text=Abbott's%20Freedom%202%20Save%20program,pay%20off%20their%20loans%20faster."
Abbott,tuition_assistance,"We provide ongoing opportunities and support for employees to learn and grow. Employees (including newly hired employees) with at least one year of full-time business experience can take advantage of our generous tuition assistance program.

This program reimburses employees for business-relevant classes at 100 percent up to $7,000 per year for undergraduate classes and $10,000 per year for graduate classes.","https://www.abbott.com/careers/benefits.html#:~:text=Tuition%20Assistance&text=This%20program%20reimburses%20employees%20for,per%20year%20for%20graduate%20classes."
"Aetna, A CVS Company",student_loan_repayment,"Aetna will match employees U.S.-based student loan payments up to $2,000 per year for a lifetime maximum of up to $10,000 for qualifying loans. For part-time employees, Aetna will match up to $1,000 a year with a lifetime maximum of $5,000.","https://www.cvshealth.com/news-and-insights/press-releases/fact-sheet-aetna-program-to-help-thousands-of-employees-repay#:~:text=Aetna%20already%20offers%20a%20tuition,may%20benefit%20from%20both%20programs"
"Aetna, A CVS Company",tuition_assistance,"Aetna offers a tuition assistance program that pays 80 percent of the cost of undergraduate or graduate courses, and employees may benefit from both programs.","https://www.cvshealth.com/news-and-insights/press-releases/fact-sheet-aetna-program-to-help-thousands-of-employees-repay#:~:text=Aetna%20already%20offers%20a%20tuition,may%20benefit%20from%20both%20programs"
AlloSource,student_loan_repayment,"AlloSource partners with Tuition.io for their student loan reimbursement benefit.

Each month, AlloSource will contribute a percentage to the principal balance of your student loan. ",https://allosource.org/allosource-partners-with-tuition-io-to-help-employees-pay-down-student-debt/
AlloSource,tuition_reimbursement,AlloSource helps you pay for your education through their tuition reimbursement program. ,
Ally Financial,student_loan_repayment,"Ally provides $100 per month towards student loans, with a lifetime maximum cap of $10,000. The company is also reimbursing tuition up to $10,000 per year — a more than 50% increase in reimbursement offerings",https://www.benefitnews.com/news/ally-financial-helps-employees-pay-for-education
Ally Financial,tuition_reimbursement,"Ally reimburses tuition up to $10,000 per year.",https://www.benefitnews.com/news/ally-financial-helps-employees-pay-for-education
Amazon,full_tuition_coverage,"Hundreds of Amazon-approved schools across 14 countries.

Range of options from foundational skills like English language to career pathways and college credit programs.

We pay 100% of tuition, books, and fees with no lifetime limit.",https://www.amazoncareerchoice.com/home?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com&source=dwindlestudentdebt.com
American Family Insurance,student_loan_repayment,"For qualifying employees who have graduated with an associate’s degree or above and have student loan debt, American Family provides a monthly contribution of $100 for student loan repayment with a lifetime maximum of $10,000.",https://www.amfam.com/about/corporate-responsibility/people
