company_name,normalized_company_name,job_scraper,createdAt,updatedAt,deletedAt,company_jobpage,company_website,industry,imagelink,company_summary,company_description
Abbott,Abbott,TRUE,,,,https://www.jobs.abbott/us/en/search-results?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.jobs.abbott/us/en/,Hospital & Healthcare,https://ucarecdn.com/ec44459c-9002-4b40-a6bc-c556351ac4dd/abbott-logo-500x313.png,"Abbott's life-changing technology helps people live fully and offers information, medicines and breakthroughs to help you manage your health.","Abbott is a global healthcare leader that helps people live more fully at all stages of life. Our portfolio of life-changing technologies spans the spectrum of healthcare, with leading businesses and products in diagnostics, medical devices, nutritionals and branded generic medicines. Our 113,000 colleagues serve people in more than 160 countries."
"Aetna, A CVS Company",Aetna,TRUE,,,,https://jobs.cvshealth.com/?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.aetna.com/,"Health, Wellness & Fitness",https://ucarecdn.com/eb64dc40-81cb-4a02-9350-3dca3f665264/aetna-logo.png,"At Aetna, a CVS Health Company, we are building a healthier world by making healthcare easy, affordable and all about you.","Founded in 1853 in Hartford, CT, Aetna is one of the nation's leading diversified health care benefits companies, serving an estimated 46.7 million people with information and resources to help them make better decisions about their healthcare."
AlloSource,Allosource,TRUE,,,,https://careers-allosource.icims.com/jobs/search?mobile=false&width=1038&height=500&bga=true&needsRedirect=false&jan1offset=-300&jun1offset=-240%3Futm_source%3Ddwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://allosource.org/,Medical Equipment Manufacturing,https://ucarecdn.com/10aac936-034d-4f4d-b49a-d55fcbafe6a6/allosource-logo.png,AlloSource is a healthcare company with a mission to help patients heal through innovative cellular and allograft research.,"As one of the world's leading manufacturers of fresh cartilage tissue used for joint repair and skin allografts to heal severe burns, AlloSource has grown into one of the largest tissue networks in the country with more than 450 employees. 
  
  With over 200 types of precise bone, skin, soft-tissue and custom-machined allografts, our organization offers products for an array of life-saving and life-enhancing medical procedures. We deliver unparalleled expertise and customer service to our growing network of surgeons, partners and the country's most reputable Organ Procurement Organizations."
Ally Financial,Ally,TRUE,,,,https://ally.avature.net/careers?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.ally.com/,Financial Services,https://ucarecdn.com/4ff3fa59-65c8-4b0a-a7cf-859171315359/ally-financial.png,"Ally Financial provides financial services including car finance, online banking via a direct bank, corporate lending, vehicle insurance, mortgage loans, and an an electronic trading platform to trade financial assets.","We're relentlessly focused on Doing it Right and being a trusted financial services provider to our consumer, commercial, and corporate customers. 
  
We are one of the largest full-service automotive finance operations in the country and offer a wide range of financial services and insurance products to automotive dealerships and consumers. That's why more than 10.5 million people trust us to help with their bank, auto, invest and other financial needs."
Amazon,Amazon,TRUE,,,,https://hiring.amazon.com/app#/jobSearch?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.amazoncareerchoice.com/home,Internet,https://ucarecdn.com/87b2f50e-738e-4b92-8894-737812c03fbb/amazon.png,"Amazon is guided by four principles: customer obsession rather than competitor focus, passion for invention, commitment to operational excellence, and long-term thinking.","We are driven by the excitement of building technologies, inventing products, and providing services that change lives. 
  We embrace new ways of doing things, make decisions quickly, and are not afraid to fail. We have the scope and capabilities of a large company, and the spirit and heart of a small one. 
  Together, Amazonians research and develop new technologies from Amazon Web Services to Alexa on behalf of our customers: shoppers, sellers, content creators, and developers around the world. Our mission is to be Earth's most customer-centric company. Our actions, goals, projects, programs, and inventions begin and end with the customer top of mind."
American Family Insurance,American Family Insurance,TRUE,,,,https://amfam.wd1.myworkdayjobs.com/Careers?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.amfam.com/,Insurance,https://ucarecdn.com/b198e1f0-948d-4037-a009-3075f4a4750d/americanfamilyinsurance.png,"At American Family Insurance, we're committed to inspiring dreamers and helping them pursue and protect their dreams.","For more than 90 years, American Family Insurance has built its reputation on sound principles. We strive to provide you industry-leading service, exceptional claims experience and products that build long-term relationships. 
  
  This is accomplished by treating policyholders fairly in a helpful and caring way and making it easy and convenient to work with us. We know our customers like family."
Andersen Tax,Andersenus,TRUE,,,,https://www.andersen.com/careers/?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,https://www.andersen.com/,Financial Services,https://ucarecdn.com/9b662221-c385-4822-97ae-80685a488de0/andersen-tax-logo.png,"Andersen provides a wide range of tax, valuation, financial advisory and related consulting services to individual and commercial clients.","We specialize in full service individual and business entity tax compliance and consulting. Our clients are at the center of our operating model which is structured to allow us to be entrepreneurial and proactive in our approach, and enables our Managing Directors to roll up their sleeves and work directly with you. 
  
  As an Andersen client, the professionals you get to know in your first meeting are the same professionals who will be working with you throughout the process."
"Anthem, Inc.",Anthem,TRUE,,,,https://anthemcareers.ttcportals.com/search/jobs?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,anthem.com,Hospitals and Health Care,https://ucarecdn.com/db5fd8e7-18ee-40c0-83a2-42de1d7f7c40/anthem-logo.png,"At Anthem, Inc., we believe that our health connects us all.","We focus on being a valued health partner and delivering quality products and services that give members access to the care they need. 
  With more than 100 million people served by our affiliated companies including approximately 40 million enrolled in our family of health plans, we can make a real difference to meet the needs of our diverse customers."
Apple,Apple,TRUE,,,,https://jobs.apple.com/en-us/search?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,apple.com,Computers and Electronics Manufacturing,https://ucarecdn.com/5a7da9a1-adff-491e-b111-34922f990540/apple-logo.png,"We're a diverse collective of thinkers and doers, continually reimagining what's possible to help us all do what we love in new ways.","The same innovation that goes into our products also applies to our practices, strengthening our commitment to leave the world better than we found it. This is where your work can make a difference in people's lives. Including your own."
AT&T,Att,TRUE,,,,https://www.att.jobs/search-jobs?utm_source=dwindlestudentdebt.com&utm_medium=dwindlestudentdebt.com&utm_campaign=dwindlestudentdebt.com&ref=dwindlestudentdebt.com,att.com,Telecommunications,https://ucarecdn.com/996ccf2d-e9f9-4510-b19a-f20a04c3eb90/2560px-at&t-logo-2016.svg.png,AT&T is where people come to invent the future. That's been our legacy since the very beginning.,"We're using our network, labs, products, services, and people to create a world where everything works together seamlessly, and life is better as a result. 
  How will we continue to drive for this excellence in innovation? 
  With you. 
  Our people, and their passion to succeed, are at the heart of what we do. Today, we're poised to connect millions of people with their world, delivering the human benefits of technology in ways that defy the imaginable."
