job_location_str,std_loc_str,need_to_be_reviewed
United States,United States,FALSE
AL,"Alabama, United States",FALSE
AK,"Alaska, United States",FALSE
AZ,"Arizona, United States",FALSE
AR,"Arkansas, United States",FALSE
AS,"American Samoa, United States",FALSE
CA,"California, United States",FALSE
CO,"Colorado, United States",FALSE
CT,"Connecticut, United States",FALSE
DE,"Delaware, United States",FALSE
DC,"District of Columbia, United States",FALSE
FL,"Florida, United States",FALSE
GA,"Georgia, United States",FALSE
GU,"Guam, United States",FALSE
HI,"Hawaii, United States",FALSE
ID,"Idaho, United States",FALSE
IL,"Illinois, United States",FALSE
IN,"Indiana, United States",FALSE
IA,"Iowa, United States",FALSE
KS,"Kansas, United States",FALSE
KY,"Kentucky, United States",FALSE
LA,"Louisiana, United States",FALSE
ME,"Maine, United States",FALSE
MD,"Maryland, United States",FALSE
MA,"Massachusetts, United States",FALSE
MI,"Michigan, United States",FALSE
MN,"Minnesota, United States",FALSE
MS,"Mississippi, United States",FALSE
MO,"Missouri, United States",FALSE
MT,"Montana, United States",FALSE
NE,"Nebraska, United States",FALSE
NV,"Nevada, United States",FALSE
NH,"New Hampshire, United States",FALSE
NJ,"New Jersey, United States",FALSE
NM,"New Mexico, United States",FALSE
NY,"New York, United States",FALSE
NC,"North Carolina, United States",FALSE
ND,"North Dakota, United States",FALSE
CM,"Northern Mariana Islands, United States",FALSE
OH,"Ohio, United States",FALSE
OK,"Oklahoma, United States",FALSE
OR,"Oregon, United States",FALSE
PA,"Pennsylvania, United States",FALSE
PR,"Puerto Rico, United States",FALSE
RI,"Rhode Island, United States",FALSE
SC,"South Carolina, United States",FALSE
SD,"South Dakota, United States",FALSE
TN,"Tennessee, United States",FALSE
TX,"Texas, United States",FALSE
TT,"Trust Territories, United States",FALSE
UT,"Utah, United States",FALSE
VT,"Vermont, United States",FALSE
VA,"Virginia, United States",FALSE
VI,"Virgin Islands, United States",FALSE
WA,"Washington, United States",FALSE
WV,"West Virginia, United States",FALSE
WI,"Wisconsin, United States",FALSE
WY,"Wyoming, United States",FALSE
Alabama,"Alabama, United States",FALSE
Alaska,"Alaska, United States",FALSE
Arizona,"Arizona, United States",FALSE
Arkansas,"Arkansas, United States",FALSE
American Samoa,"American Samoa, United States",FALSE
California,"California, United States",FALSE
Colorado,"Colorado, United States",FALSE
Connecticut,"Connecticut, United States",FALSE
Delaware,"Delaware, United States",FALSE
District of Columbia,"District of Columbia, United States",FALSE
Florida,"Florida, United States",FALSE
Georgia,"Georgia, United States",FALSE
Guam,"Guam, United States",FALSE
Hawaii,"Hawaii, United States",FALSE
Idaho,"Idaho, United States",FALSE
Illinois,"Illinois, United States",FALSE
Indiana,"Indiana, United States",FALSE
Iowa,"Iowa, United States",FALSE
Kansas,"Kansas, United States",FALSE
Kentucky,"Kentucky, United States",FALSE
Louisiana,"Louisiana, United States",FALSE
Maine,"Maine, United States",FALSE
Maryland,"Maryland, United States",FALSE
Massachusetts,"Massachusetts, United States",FALSE
Michigan,"Michigan, United States",FALSE
Minnesota,"Minnesota, United States",FALSE
Mississippi,"Mississippi, United States",FALSE
Missouri,"Missouri, United States",FALSE
Montana,"Montana, United States",FALSE
Nebraska,"Nebraska, United States",FALSE
Nevada,"Nevada, United States",FALSE
New Hampshire,"New Hampshire, United States",FALSE
New Jersey,"New Jersey, United States",FALSE
New Mexico,"New Mexico, United States",FALSE
New York,"New York, United States",FALSE
North Carolina,"North Carolina, United States",FALSE
North Dakota,"North Dakota, United States",FALSE
Northern Mariana Islands,"Northern Mariana Islands, United States",FALSE
Ohio,"Ohio, United States",FALSE
Oklahoma,"Oklahoma, United States",FALSE
Oregon,"Oregon, United States",FALSE
Pennsylvania,"Pennsylvania, United States",FALSE
Puerto Rico,"Puerto Rico, United States",FALSE
Rhode Island,"Rhode Island, United States",FALSE
South Carolina,"South Carolina, United States",FALSE
South Dakota,"South Dakota, United States",FALSE
Tennessee,"Tennessee, United States",FALSE
Texas,"Texas, United States",FALSE
Trust Territories,"Trust Territories, United States",FALSE
Utah,"Utah, United States",FALSE
Vermont,"Vermont, United States",FALSE
Virginia,"Virginia, United States",FALSE
Virgin Islands,"Virgin Islands, United States",FALSE
Washington,"Washington, United States",FALSE
West Virginia,"West Virginia, United States",FALSE
Wisconsin,"Wisconsin, United States",FALSE
Wyoming,"Wyoming, United States",FALSE
