"job_location_str","std_loc_str","createdAt","updatedAt","need_to_be_reviewed"
"Ahmedabad, Gujarat, India","deletion flag","2022-08-07 06:30:36.468278+00","2022-08-07 06:30:36.468278+00",True
"AK","Alaska, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"AL","Alabama, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Alabama","Alabama, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Alajuela, Alajuela, Costa Rica","Alajuela, Alajuela, Costa Rica","2022-08-07 06:30:36.361292+00","2022-08-07 06:30:36.361292+00",True
"Alaska","Alaska, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Albuquerque-Santa Fe Metropolitan Area","New Mexico, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"American Samoa","American Samoa, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"AR","Arkansas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Arizona","Arizona, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Arkansas","Arkansas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"AS","American Samoa, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Atlanta Metropolitan Area","Georgia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Austin, Texas Metropolitan Area","Texas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"AZ","Arizona, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Brussels, Brussels Region, Belgium","deletion flag","2022-08-07 06:30:36.337021+00","2022-08-07 06:30:36.337021+00",True
"Buffalo-Niagara Falls Area","New York, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"CA","California, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"California","California, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Charlotte Metro","Charlotte Metro","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Cincinnati Metropolitan Area","Cincinnati Metropolitan Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"CM","Northern Mariana Islands, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"CO","Colorado, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Colorado","Colorado, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Columbus, Ohio Metropolitan Area","Ohio, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Connecticut","Connecticut, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Crestview-Fort Walton Beach-Destin Area","Florida, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"CT","Connecticut, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Dallas-Fort Worth Metroplex","Texas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"DC","District of Columbia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"DE","Delaware, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Delaware","Delaware, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Denver Metropolitan Area","Colorado, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Detroit Metropolitan Area","Michigan, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"District of Columbia","District of Columbia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Dubai, Dubai, United Arab Emirates","Dubai, Dubai, United Arab Emirates","2022-08-07 06:30:34.976892+00","2022-08-07 06:30:34.976892+00",True
"El Paso Metropolitan Area","El Paso Metropolitan Area","2022-08-07 06:30:35.712891+00","2022-08-07 06:30:35.712891+00",True
"FL","Florida, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Florida","Florida, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"GA","Georgia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Georgia","Georgia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Anchorage Area","Alaska, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Bangor Area","Greater Bangor Area","2022-08-07 06:30:35.605233+00","2022-08-07 06:30:35.605233+00",True
"Greater Bend Area","Greater Bend Area","2022-08-07 06:30:52.588043+00","2022-08-07 06:30:52.588043+00",True
"Greater Billings Area","Greater Billings Area","2022-08-07 06:30:56.444053+00","2022-08-07 06:30:56.444053+00",True
"Greater Biloxi Area","Greater Biloxi Area","2022-08-07 06:30:59.168041+00","2022-08-07 06:30:59.168041+00",True
"Greater Bloomington Area","Indiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Boston","Greater Boston","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Greater Burlington Area","Vermont, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Chicago Area","Greater Chicago Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Greater Fayetteville, AR Area","Arkansas, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Hartford","Greater Hartford","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Greater Houston","Greater Houston","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Greater Idaho Falls","Idaho, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Indianapolis","Indiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Jackson, MI Area","Michigan, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Jefferson City Area","Missouri, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Kennewick Area","Greater Kennewick Area","2022-08-07 06:30:38.572129+00","2022-08-07 06:30:38.572129+00",True
"Greater Lansing","Greater Lansing","2022-08-07 06:31:04.06022+00","2022-08-07 06:31:04.06022+00",True
"Greater Macon","Georgia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Madison Area","Wisconsin, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Minneapolis-St. Paul Area","Greater Minneapolis-St. Paul Area","2022-08-07 06:30:35.557005+00","2022-08-07 06:30:35.557005+00",True
"Greater Morgantown Area","West Virginia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater New Orleans Region","Louisiana, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Orlando","Florida, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Owensboro Area","Greater Owensboro Area","2022-08-07 06:30:54.156038+00","2022-08-07 06:30:54.156038+00",True
"Greater Philadelphia","Greater Philadelphia","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Greater Phoenix Area","Greater Phoenix Area","2022-08-07 06:30:48.56805+00","2022-08-07 06:30:48.56805+00",True
"Greater Pittsburgh Region","Greater Pittsburgh Region","2022-08-07 06:30:45.312095+00","2022-08-07 06:30:45.312095+00",True
"Greater Reno Area","Nevada, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Richmond Region","Virginia, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Sacramento","California, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Seattle Area","Washington, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Syracuse-Auburn Area","Greater Syracuse-Auburn Area","2022-08-07 06:30:45.280985+00","2022-08-07 06:30:45.280985+00",True
"Greater Tampa Bay Area","Florida, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Greater Tucson Area","Greater Tucson Area","2022-08-07 06:30:34.329121+00","2022-08-07 06:30:34.329121+00",True
"GU","Guam, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Guam","Guam, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Hampton Roads, Virginia Metropolitan Area","Hampton Roads, Virginia Metropolitan Area","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",True
"Hawaii","Hawaii, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Helsinki, Southwest Finland, Finland","Helsinki, Southwest Finland, Finland","2022-08-07 06:30:36.317219+00","2022-08-07 06:30:36.317219+00",True
"HI","Hawaii, United States","2022-08-07 06:30:19.483+00","2022-08-07 06:30:19.483+00",False
"Ho Chi Minh City, Ho Chi Minh City, Vietnam","deletion flag","2022-08-07 06:30:36.489081+00","2022-08-07 06:30:36.489081+00",True
"Houma-Thibodaux Area","Houma-Thibodaux Area","2022-08-07 06:30:35.35294+00","2022-08-07 06:30:35.35294+00",True
